,precision,recall,f1-score,support
Normal Operation,0.9996172685011977,0.9994109730982385,0.9995141101550977,232587.0
Open Circuit,1.0,1.0,1.0,1205.0
Shadowing,0.9963169051404346,0.9975327638350932,0.9969244637696529,37694.0
Short-Circuit,0.9966722129783694,0.9983333333333333,0.9975020815986678,1200.0
accuracy,0.9991492045796264,0.9991492045796264,0.9991492045796264,0.9991492045796264
macro avg,0.9981515966550004,0.9988192675666663,0.9984851638808546,272686.0
weighted avg,0.99914978292551,0.9991492045796264,0.999149430384748,272686.0
